Level,Category,Subcategory,Descriptor Text,Metadata
A1,Reading,Overall Reading Comprehension,"Can understand very short, simple texts a single phrase at a time, picking up familiar names, words and basic phrases and rereading as required.","{""skill_type"":""receptive"",""domain"":""general""}"
A1,Writing,Overall Written Production,Can write simple isolated phrases and sentences.,"{""skill_type"":""productive"",""domain"":""general""}"
A1,Listening,Overall Listening Comprehension,"Can follow speech which is very slow and carefully articulated, with long pauses for them to assimilate meaning.","{""skill_type"":""receptive"",""domain"":""general""}"
A1,Speaking,Overall Spoken Production,Can produce simple mainly isolated phrases about people and places.,"{""skill_type"":""productive"",""domain"":""general""}"
A2,Reading,Overall Reading Comprehension,"Can understand short, simple texts on familiar matters of a concrete type which consist of high frequency everyday or job-related language.","{""skill_type"":""receptive"",""domain"":""general""}"
A2,Writing,Overall Written Production,"Can write short, simple texts on familiar topics.","{""skill_type"":""productive"",""domain"":""general""}"
A2,Listening,Overall Listening Comprehension,"Can understand phrases and expressions related to areas of most immediate priority (e.g. very basic personal and family information, shopping, local geography, employment).","{""skill_type"":""receptive"",""domain"":""general""}"
A2,Speaking,Overall Spoken Interaction,Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar topics and activities.,"{""skill_type"":""interactive"",""domain"":""general""}"
B1,Reading,Overall Reading Comprehension,Can read straightforward factual texts on subjects related to their field and interest with a satisfactory level of comprehension.,"{""skill_type"":""receptive"",""domain"":""general""}"
B1,Writing,Overall Written Production,Can write straightforward connected texts on topics which are familiar or of personal interest.,"{""skill_type"":""productive"",""domain"":""general""}"
B1,Listening,Overall Listening Comprehension,"Can understand straightforward factual information about common everyday or job related topics, identifying both general messages and specific details.","{""skill_type"":""receptive"",""domain"":""general""}"
B1,Speaking,Overall Spoken Interaction,Can communicate with some confidence on familiar routine and non-routine matters related to their interests and professional field.,"{""skill_type"":""interactive"",""domain"":""general""}"
B2,Reading,Overall Reading Comprehension,"Can read with a large degree of independence, adapting style and speed of reading to different texts and purposes, and using appropriate reference sources selectively.","{""skill_type"":""receptive"",""domain"":""general""}"
B2,Writing,Overall Written Production,"Can write clear, detailed texts on a variety of subjects related to their field of interest, synthesising and evaluating information and arguments from a number of sources.","{""skill_type"":""productive"",""domain"":""general""}"
B2,Listening,Overall Listening Comprehension,"Can understand standard spoken language, live or broadcast, on both familiar and unfamiliar topics normally encountered in personal, social, academic or vocational life.","{""skill_type"":""receptive"",""domain"":""general""}"
B2,Speaking,Overall Spoken Production,"Can give clear, detailed descriptions and presentations on a wide range of subjects related to their field of interest, expanding and supporting ideas with subsidiary points and relevant examples.","{""skill_type"":""productive"",""domain"":""general""}"
C1,Reading,Overall Reading Comprehension,"Can understand in detail lengthy, complex texts whether or not they relate to their own area of speciality, provided they can reread difficult sections.","{""skill_type"":""receptive"",""domain"":""general""}"
C1,Writing,Overall Written Production,"Can write clear, well-structured texts on complex subjects, underlining the relevant salient issues, expanding and supporting points of view at some length with subsidiary points, reasons and relevant examples.","{""skill_type"":""productive"",""domain"":""general""}"
C1,Listening,Overall Listening Comprehension,"Can understand enough to follow extended speech on abstract and complex topics beyond their own field, though they may need to confirm occasional details, especially if the accent is unfamiliar.","{""skill_type"":""receptive"",""domain"":""general""}"
C1,Speaking,Overall Spoken Interaction,"Can express themselves fluently and spontaneously, almost effortlessly. Has a good command of a broad lexical repertoire allowing gaps to be readily overcome with circumlocutions.","{""skill_type"":""interactive"",""domain"":""general""}"
C2,Reading,Overall Reading Comprehension,"Can understand and interpret critically virtually all forms of the written language including abstract, structurally complex, or highly colloquial literary and non-literary writings.","{""skill_type"":""receptive"",""domain"":""general""}"
C2,Writing,Overall Written Production,"Can write clear, smoothly flowing, complex texts in an appropriate and effective style and a logical structure which helps the reader to find significant points.","{""skill_type"":""productive"",""domain"":""general""}"
C2,Listening,Overall Listening Comprehension,"Has no difficulty in understanding any kind of spoken language, whether live or broadcast, delivered at fast native speed.","{""skill_type"":""receptive"",""domain"":""general""}"
C2,Speaking,Overall Spoken Production,"Can produce clear, smoothly flowing, well-structured speech with an effective logical structure which helps the recipient to notice and remember significant points.","{""skill_type"":""productive"",""domain"":""general""}"
